Message Id,Time,Sender Name,Reply Id,Message
558443,2020-11-23T11:04:33+00:00,udntwnme,,"Самый смешной прикол за последнее время"
558444,2020-11-23T11:04:53+00:00,udntwnme,,"Мой ор наверное весь Иннополис слышал, когда я увидела вопрос с символом битка"
558445,2020-11-23T11:05:01+00:00,dmiklashevskaya,558437,"Ну репортили ложнополжительность в 2% случаев"
558446,2020-11-23T11:05:16+00:00,fatawesome,,"Классно не быть вирусологом"
558447,2020-11-23T11:05:32+00:00,Mustafin,558445,"Это ПЦР или антитела?"
558448,2020-11-23T11:06:00+00:00,dmiklashevskaya,,"Пцр"
558449,2020-11-23T11:06:07+00:00,dmiklashevskaya,,"Я не знаю как это возможно"
558450,2020-11-23T11:06:12+00:00,dmiklashevskaya,,"Но пишут про это"
558451,2020-11-23T11:06:38+00:00,dmiklashevskaya,,"Видимо реагент может ложнлсрабатывать на что-то ещё кроме короны"
558452,2020-11-23T11:06:45+00:00,udntwnme,558446,"+"
558453,2020-11-23T11:07:16+00:00,jenamax,558451,"Или тупо при записи/отправки результата ошибка происходит"
558454,2020-11-23T11:07:26+00:00,dmiklashevskaya,558449,"Химия жи \nНичего о ней не знаю"
558455,2020-11-23T11:07:32+00:00,Mustafin,558452,"Да это вроде школьная биология, чего вы начали-то"
558456,2020-11-23T11:07:46+00:00,ysukhorukov,558453,"Или врач был в дрова когда проводил тест :)"
558457,2020-11-23T11:07:48+00:00,ysukhorukov,,"И такое тоже бывает"
558458,2020-11-23T11:08:56+00:00,ysukhorukov,558455,"Химия"
558459,2020-11-23T11:08:56+00:00,dmiklashevskaya,558455,"Да там ошибки не из-за самой короны, а всякий человечески фактор"
558460,2020-11-23T11:09:15+00:00,ysukhorukov,558459,"Я говорю, если врач был бухой, например :)))"
558461,2020-11-23T11:09:25+00:00,udntwnme,,"Над мидтермом никто не посмеялся..."
558462,2020-11-23T11:09:37+00:00,rsolovev,558461,"ну как сказать"
558463,2020-11-23T11:09:41+00:00,jenamax,558461,"Это не смешно"
558464,2020-11-23T11:09:42+00:00,simplearink,558461,"Я ещё утром посмеялась прост("
558465,2020-11-23T11:10:05+00:00,ysukhorukov,558463,"Спасибо Императору за то что я Механикус :)"
558466,2020-11-23T11:10:07+00:00,dmiklashevskaya,,""
558467,2020-11-23T11:10:31+00:00,dmiklashevskaya,,"Ещё же всякие другие корововирусы есть, точно"
558468,2020-11-23T11:10:47+00:00,SkarletSkay,,"привет атипичной пневмонии"
558469,2020-11-23T11:11:02+00:00,SkarletSkay,,""
558470,2020-11-23T11:11:11+00:00,rsolovev,558461,"приходите к нам на СБ, вы будете знать\n- как выглядит символ биткоина\n- когда замайнили первый блок битка\n- ну и еще что-нибудь наверное"
558471,2020-11-23T11:11:19+00:00,bochkaryoff,,"коронавирус = атипичная пневмония, не?"
558472,2020-11-23T11:11:24+00:00,dmiklashevskaya,558466,"Это про антительный\nНо думаю пцр тоже от других коронавируса может сработать"
558473,2020-11-23T11:11:37+00:00,udntwnme,558470,"Но это не точно"
558474,2020-11-23T11:11:48+00:00,fatawesome,558470,"- как работать вместо учебы\n- как выигрывать хакатоны"
558475,2020-11-23T11:11:56+00:00,udntwnme,,"Блокчейн специалистами скоро станем"
558476,2020-11-23T11:11:57+00:00,Mustafin,558470,"Ну ещё что такое кошелёк"
558477,2020-11-23T11:11:58+00:00,dmiklashevskaya,558471,"Не\nКонкретно этот коронавирус это COVID Sars 19\n\nА там ещё куча всяких других"
558478,2020-11-23T11:11:58+00:00,SkarletSkay,558471,"ну в двухтысячных его больше называли так"
558479,2020-11-23T11:12:05+00:00,SkarletSkay,,"но да"
558480,2020-11-23T11:12:07+00:00,SkarletSkay,,"даша права"
558481,2020-11-23T11:12:07+00:00,bochkaryoff,558478,"SARS, ага"
558482,2020-11-23T11:12:16+00:00,udntwnme,,"На работу придём собеседоваться: \n«Могу вам биток нарисовать»"
558483,2020-11-23T11:12:17+00:00,bochkaryoff,558477,"понял"
558484,2020-11-23T11:12:20+00:00,Mustafin,558477,"Да, даже какой-то из знаменитых вирусов недавних тоже бы короной"
558485,2020-11-23T11:12:30+00:00,dmiklashevskaya,,"Вики говорит есть 43 вида корововирусов"
558486,2020-11-23T11:12:32+00:00,fatawesome,558482,"Керамикс скажет “вы приняты"""
558487,2020-11-23T11:12:38+00:00,ysukhorukov,558484,"Классный вирус был Испанка"
558488,2020-11-23T11:12:41+00:00,Mustafin,558482,"К Меркину в стартап нужны люди уровня межнара олимпиады п проге"
558489,2020-11-23T11:12:50+00:00,SkarletSkay,558487,"вирус это грипп"
558490,2020-11-23T11:12:50+00:00,Ortyomka,558486,"🌚"
558491,2020-11-23T11:12:56+00:00,fatawesome,558490,"да-да"
558492,2020-11-23T11:13:03+00:00,SkarletSkay,,"да и у испанки история была из-за несоблюдения мер предосторожности"
558493,2020-11-23T11:13:06+00:00,ysukhorukov,558490,"Испанский грипп"
558494,2020-11-23T11:13:08+00:00,SkarletSkay,,"щас она вроде не такая опаснвя"
558495,2020-11-23T11:13:15+00:00,ysukhorukov,,"когда люди со слабым иммунитетом выживали, а с нормальным - отъезжали"
558496,2020-11-23T11:13:26+00:00,ysukhorukov,,"Из-за сильного имунного ответа"
558497,2020-11-23T11:13:29+00:00,SkarletSkay,,"ее щас менаджат нет?"
558498,2020-11-23T11:13:39+00:00,SkarletSkay,558496,"ну кашлять кровью это мощно"
558499,2020-11-23T11:13:53+00:00,SkarletSkay,,"я увидела эту болезнь первый раз в ходячих"
558500,2020-11-23T11:13:55+00:00,ysukhorukov,,"Если я правильно помню, это самая разрушительная пандемия по числу фрагов"
558501,2020-11-23T11:13:56+00:00,SkarletSkay,,"выглядело жутко"
558502,2020-11-23T11:14:04+00:00,SkarletSkay,558500,"времена другие были"
558503,2020-11-23T11:14:07+00:00,SkarletSkay,,"да и регион"
558504,2020-11-23T11:14:11+00:00,ysukhorukov,558498,"Ну такое можно получить и если например хлором подышать :)"
558505,2020-11-23T11:14:21+00:00,SkarletSkay,,"ну там понятно уж"
558506,2020-11-23T11:14:29+00:00,vionenv,,"is coronavirus actually overrated"
558507,2020-11-23T11:14:31+00:00,SkarletSkay,,"если порезаться кровь пойдет"
558508,2020-11-23T11:14:39+00:00,SkarletSkay,,"а когда сам организм начинает кожу рвать"
558509,2020-11-23T11:14:40+00:00,SkarletSkay,,"это другое"
558510,2020-11-23T11:15:31+00:00,dmiklashevskaya,558506,"Есть много семей, у которых трагедии, так что не надо так говорить 🙂"
558511,2020-11-23T11:15:53+00:00,dmiklashevskaya,,"Случаи тяжёлого течения были даже среди молодых"
558512,2020-11-23T11:15:58+00:00,simplearink,558510,"Спасибо 🙏"
558513,2020-11-23T11:16:20+00:00,SkarletSkay,,"грустный факт - трагедия даже во время пандемии это не всегда корона"
558514,2020-11-23T11:16:34+00:00,SkarletSkay,,"и это тоже страшно"
558515,2020-11-23T11:16:42+00:00,ysukhorukov,558513,"Зачастую это офигенная медпомощь (а точнее ее отсутствие)"
558516,2020-11-23T11:16:44+00:00,simplearink,558513,"А если есть подтверждение, что корона?"
558517,2020-11-23T11:16:55+00:00,simplearink,558515,"А, если вы об этом"
558518,2020-11-23T11:16:55+00:00,dmiklashevskaya,558512,""
558519,2020-11-23T11:17:02+00:00,SkarletSkay,,"когда болеют родственники, а звонок поступает совсем с другой части семьи"
558520,2020-11-23T11:17:30+00:00,SkarletSkay,,"ладно я пойду"
558521,2020-11-23T11:17:32+00:00,ysukhorukov,558517,"Мама с врачами работает, это полный ад и Израиль. Никому ничего не нужно в основном"
558522,2020-11-23T11:17:34+00:00,SkarletSkay,,"какое-то полное уныние"
558523,2020-11-23T11:17:42+00:00,simplearink,558521,"Да я уж поняла"
558524,2020-11-23T11:17:58+00:00,simplearink,,"Лечат симптомы"
558525,2020-11-23T11:18:15+00:00,ysukhorukov,558524,"У нас даже их не лечат"
558526,2020-11-23T11:18:22+00:00,bochkaryoff,,"Но ведь нет же лечения самой короны?"
558527,2020-11-23T11:18:31+00:00,ysukhorukov,,"Выпишут арбидол и антибиотики на которые у бактерий иммунитет уже лет 50"
558528,2020-11-23T11:18:34+00:00,ysukhorukov,,"И лежи помирай"
558529,2020-11-23T11:18:52+00:00,simplearink,558526,"Скорее да, чем нет"
558530,2020-11-23T11:19:09+00:00,dmiklashevskaya,,"Ну вот не знаю как вы \nЯ даже если с осложнениями, думаю не умру от короны \n\n\nНо очень сильно боюсь маме привезти корону. И так ее вижу раз в год, а тут вообще возможно придётся не ехать летом."
558531,2020-11-23T11:19:13+00:00,myaksik,,"Кстати, почему ещё тут никто не обсудил 15% ндфл?"
558532,2020-11-23T11:19:30+00:00,ysukhorukov,558527,"И это в лучшем случае"
558533,2020-11-23T11:19:30+00:00,bochkaryoff,558529,"Мне казалось, ни один вирус не лечится как таковой"
558534,2020-11-23T11:19:34+00:00,myaksik,558526,"Коктейль из антител"
558535,2020-11-23T11:19:52+00:00,ysukhorukov,558533,"Нет, есть противовирусные, работающие препараты. Но это явно не арбидол, кек"
558536,2020-11-23T11:20:07+00:00,bochkaryoff,558535,"да кто этот ваш арбидол"
558537,2020-11-23T11:20:10+00:00,bochkaryoff,,"все на него бомбят"
558538,2020-11-23T11:20:11+00:00,dmiklashevskaya,558526,"Антибиотики, которые могут помочь, а могут не помочь и добить тебя \n\n\nВрачи сами не знают последствий короны и что вообще будет со всеми переболевшими в будущем, они сами так сказали"
558539,2020-11-23T11:20:26+00:00,myaksik,558535,"Фермасьебивурусовир"
558540,2020-11-23T11:20:40+00:00,ysukhorukov,558538,"Антибиотики это для того чтобы не было осложнений (и от осложнений) на легкие"
558541,2020-11-23T11:21:07+00:00,dmiklashevskaya,558533,"Вот вообще непонятно \n\n\nДаже если будет вакцина, это получается прививаться каждые 3 месяца?"
558542,2020-11-23T11:21:11+00:00,ysukhorukov,,"Но проблема в том, что у нас врачи если назначают тебе антибиотик, будут колоть его положенные  7 дней, потом еще 3, и тд"
558543,2020-11-23T11:21:31+00:00,dmiklashevskaya,558542,"Многие пишут что после антибиотиков у них проблемы с другими органами"
558544,2020-11-23T11:21:36+00:00,dmiklashevskaya,,"Почки желудок и тд"
558545,2020-11-23T11:21:48+00:00,dmiklashevskaya,,"Там очень большую дозу колят"
558546,2020-11-23T11:21:51+00:00,bochkaryoff,558543,"плюсую, мне нельзя антибиотики из-за почек"
558547,2020-11-23T11:21:54+00:00,ysukhorukov,,"А если он не работает в первые пару дней - это явный признак того что у бактерии умеют переживать именно этот антибиотик, поэтому нужно менять"
558548,2020-11-23T11:22:02+00:00,bochkaryoff,,"так что да, антибиотики не всем нужны"
558549,2020-11-23T11:22:30+00:00,simplearink,558547,"Часто такое происходит из-за самолечения))))"
558550,2020-11-23T11:22:35+00:00,jenamax,558541,"Ну от гриппа же делают каждый год прививки"
558551,2020-11-23T11:22:37+00:00,bochkaryoff,,"так в итоге че там с онлайном\nвсе пососали и идут в офлайн?"
558552,2020-11-23T11:22:41+00:00,simplearink,558551,"Да"
558553,2020-11-23T11:22:47+00:00,ysukhorukov,558549,"А ну, антибиотики против самой короны бесполезны"
558554,2020-11-23T11:22:48+00:00,bochkaryoff,,"damn"
558555,2020-11-23T11:23:00+00:00,anufriyevt,558551,"не понел, мы теперь офлайн учимся?"
558556,2020-11-23T11:23:03+00:00,ysukhorukov,,"Против пневмонии, бронхита  - да, но с условиями"
558557,2020-11-23T11:23:09+00:00,bochkaryoff,558555,"ну этот семестр доучиваемся онлайн"
558558,2020-11-23T11:23:10+00:00,ysukhorukov,558555,"Со след семестра"
558559,2020-11-23T11:23:11+00:00,dmiklashevskaya,558555,"Дратути"
558560,2020-11-23T11:23:13+00:00,bochkaryoff,,"а дальше говорят все, оффлайн"
558561,2020-11-23T11:23:24+00:00,anufriyevt,558559,"да привет"
558562,2020-11-23T11:23:25+00:00,bochkaryoff,,"братан, тебе не страшно, ты ж приехал"
558563,2020-11-23T11:23:30+00:00,ysukhorukov,558545,"Ага, причем в некоторых случаях это еще и не помогает"
558564,2020-11-23T11:23:33+00:00,simplearink,558553,"Не, я про то, что бактерии устойчивы к антибиотикам"
558565,2020-11-23T11:23:40+00:00,dmiklashevskaya,558551,"Выше сообщение \nВ бейчелорс 4 ещё"
558566,2020-11-23T11:23:45+00:00,ysukhorukov,558564,"Ну я про это и говорю"
558567,2020-11-23T11:23:54+00:00,anufriyevt,558560,"ну жб зависит от короны"
558568,2020-11-23T11:24:09+00:00,anufriyevt,,"типа весной нам тож пиздели что жб не будем на онлайн переходить"
558569,2020-11-23T11:24:11+00:00,bochkaryoff,558565,"Я его читал\nТут просто такое обсуждение был"
558570,2020-11-23T11:24:19+00:00,anufriyevt,,"а потом бац и резко идите на онлайн"
558571,2020-11-23T11:24:38+00:00,dmiklashevskaya,,"Да конечно \nЕсли сейчас (надеюсь нет) все очень редко плохо станет в Татарстане, то закроют наверное"
558572,2020-11-23T11:24:45+00:00,ysukhorukov,558564,"Если бактерии устойчивы к одному антибиотику, то нужно менять его, а не продолжать долбить то же самое 9 дней"
558573,2020-11-23T11:25:37+00:00,Mustafin,558531,"У меня нет столько денег"
558574,2020-11-23T11:25:43+00:00,dmiklashevskaya,,"Там в Ростовской области что-то творится, они всех подряд сажают на карантин, даже прилетевших из других городов России\n\nУ них там резкий прирост в последние дни"
558575,2020-11-23T11:26:08+00:00,simplearink,558572,"Конечно. Но они иногда становятся устойчивыми, потому что люди лечится сами и часто не допивают препарат до конца"
558576,2020-11-23T11:26:20+00:00,simplearink,,"Бросают, как стало легче"
558577,2020-11-23T11:26:20+00:00,ysukhorukov,,"А ну это да"
558578,2020-11-23T11:26:39+00:00,ysukhorukov,558576,"Я очень протестовал против этого когда был мелким, потому что уколы"
558579,2020-11-23T11:26:52+00:00,ysukhorukov,,"Но мама мне объяснила как это работает, и я перестал протестовать :)"
558580,2020-11-23T11:27:18+00:00,ysukhorukov,,"Что в крови должна быть концентрация антибиотика, и тебе стало лучше только потому что бактерий меньше стало, но они еще не умерли до конца"
558581,2020-11-23T11:27:37+00:00,dmiklashevskaya,558575,"Да\nЭто как чайник кипятить и недокипятить\nБактерии не умрут, но будут очень злые \n\n\nМама говорила, что так в детстве ученики делали в школе, чтобы уроки пропускать (диарея начиналась)..."
558582,2020-11-23T11:27:48+00:00,fatawesome,558531,"Хера ты зарабатываешь, если тебе не пох"
558583,2020-11-23T11:28:14+00:00,ysukhorukov,558581,"По сути ты форсишь естественный отбор таким образом - те бактерии что не сдохли сразу, были более устойчивы к антибиотику, поэтому их просто обязательно добить надо, иначе они дадут потомство которое тоже будет устойчивым"
558584,2020-11-23T11:28:35+00:00,myaksik,558582,"Ну прогрессивный налог туда-сюда"
558585,2020-11-23T11:28:43+00:00,myaksik,,"Движемся вперёд в будушее"
558586,2020-11-23T11:29:17+00:00,fatawesome,558584,"Долго туда не придем еще, имхо"
558587,2020-11-23T11:30:11+00:00,myaksik,,"Я кстати когда увидел подумал «ого мы что развились»"
558588,2020-11-23T11:30:16+00:00,myaksik,,"А потом увидел цифры"
558589,2020-11-23T11:30:24+00:00,myaksik,,"Которых всего 2\nи: ясно хуита"
558590,2020-11-23T11:30:24+00:00,fatawesome,558587,"))"
558591,2020-11-23T11:48:19+00:00,Mustafin,,"#Вакцина #Вирус\n📊 Общее количество произведенный доз вакцины от коронавируса достигнет общего числа населения Земли только ко 2 кв. 2022"
558592,2020-11-23T11:48:41+00:00,Mustafin,,"Это ещё не учитывается, что иммунитет мб на полгода только"
558593,2020-11-23T12:48:20+00:00,udntwnme,,"если учесть, сколько людей не собирается делать прививки, то все ок"
558594,2020-11-23T12:50:28+00:00,strudra,558592,"But it’s not needed to vaccinate 100% of the population. ~80% will be enough for the herd immunity to kick in."
558595,2020-11-23T12:51:56+00:00,ysukhorukov,558594,"There a lot of dumbasses who think that the vaccine is a lie / way to control the population /even worse disease"
558596,2020-11-23T12:52:10+00:00,ysukhorukov,,"You know, conspiracy theories at their best"
558597,2020-11-23T12:52:47+00:00,dmiklashevskaya,558594,"yeah but the immunity does not last forever and the vaccine will be made for 80% of population by 2022 (or the end of 2021) still 😬"
558598,2020-11-23T12:54:13+00:00,ysukhorukov,558597,"So there is a possibility that Corona will be like a regular flu in the nearest future :("
558599,2020-11-23T12:54:39+00:00,Mustafin,558597,"Yeah, i ment this. We need to start counting almost from 0 each half a year"
558600,2020-11-23T12:56:24+00:00,dmiklashevskaya,,"Lucky Musk, he can leave for Mars 😅"
558601,2020-11-23T12:56:45+00:00,ysukhorukov,558599,"So we should be able to produce around 6 * 10^9 vaccines per half a year :))"
558602,2020-11-23T12:56:53+00:00,ysukhorukov,558600,""
558603,2020-11-23T12:57:25+00:00,myaksik,558598,"it will"
558604,2020-11-23T12:57:41+00:00,myaksik,558600,"he's gonna die there :D"
558605,2020-11-23T12:57:48+00:00,myaksik,,"in 10ys"
558606,2020-11-23T12:58:00+00:00,dmiklashevskaya,558604,"not from Corona hopefully or it would be a lol"
558607,2020-11-23T12:58:12+00:00,Mustafin,558599,"But ofc 80% is not the only way. Social distancing + natural immunity + vaccines  will solve the problem already, imho"
558608,2020-11-23T12:58:23+00:00,myaksik,558606,"зачем так шутить майку в стрику теперь"
558609,2020-11-23T12:59:35+00:00,ysukhorukov,558607,"Imho even vaccine will not solve the problem completely"
558610,2020-11-23T12:59:41+00:00,ysukhorukov,,"Like with regular flu"
558611,2020-11-23T13:00:12+00:00,ysukhorukov,,"You know, viruses do like to mutate just a little bit"
558612,2020-11-23T13:00:58+00:00,ysukhorukov,,"This is why we have a new flu strain every year"
558615,2020-11-23T13:08:24+00:00,IlnurMIR,,"у кого нибудь есть клей момент?"
558616,2020-11-24T08:35:12+00:00,fatawesome,,"kind reminder"
558617,2020-11-24T08:35:24+00:00,mmmsalo,,"sposeba"
558618,2020-11-24T08:42:01+00:00,fatawesome,,""
558619,2020-11-24T08:42:20+00:00,Apostrov,,""
558620,2020-11-24T08:42:41+00:00,fatawesome,,"SU sus"
558621,2020-11-24T08:43:08+00:00,Apostrov,,""
558622,2020-11-24T08:43:57+00:00,Ortyomka,,"/IU_RiP"
558623,2020-11-24T08:44:08+00:00,lunacarsky,,"/PEACE_DEATH"
558624,2020-11-24T08:44:10+00:00,akhmetbekali,558622,"?!"
558625,2020-11-24T08:44:16+00:00,lunacarsky,,"sha uvidish"
558626,2020-11-24T08:44:22+00:00,Ortyomka,558624,"Стипу срезали"
558627,2020-11-24T08:44:29+00:00,lunacarsky,,""
558628,2020-11-24T08:45:03+00:00,rsolovev,,""
558629,2020-11-24T08:45:15+00:00,udntwnme,,"лол, стипа же с гранта идет"
558630,2020-11-24T08:45:19+00:00,udntwnme,,"или грант это иллюзия"
558631,2020-11-24T08:45:30+00:00,Ortyomka,558630,"Мнимые деньги"
558632,2020-11-24T08:45:30+00:00,akhmetbekali,,"пиздец"
558633,2020-11-24T08:45:31+00:00,akhmetbekali,,"че блять"
558634,2020-11-24T08:46:04+00:00,dmiklashevskaya,,"у нас же был контракт..."
558635,2020-11-24T08:46:26+00:00,dmiklashevskaya,,"почему всем должны обрезать стипу, а не только новым?..."
558636,2020-11-24T08:46:46+00:00,mmmsalo,,"всм всем?"
558637,2020-11-24T08:46:56+00:00,dmiklashevskaya,,"да"
558638,2020-11-24T08:47:01+00:00,dmiklashevskaya,,"почему они обрезают стипы всем"
558639,2020-11-24T08:47:04+00:00,stupidjava,,"рубль упал"
558640,2020-11-24T08:47:05+00:00,dmiklashevskaya,,"а не новым абитурам?"
558641,2020-11-24T08:47:06+00:00,stupidjava,,"стипа тоже"
558642,2020-11-24T08:47:07+00:00,mmmsalo,,"а откуда вброс то?"
558643,2020-11-24T08:47:11+00:00,stupidjava,,"почта))"
558644,2020-11-24T08:47:13+00:00,lunacarsky,558642,"имейл"
558645,2020-11-24T08:47:13+00:00,mmmsalo,,"а"
558646,2020-11-24T08:47:14+00:00,myaksik,558641,""
558647,2020-11-24T08:47:39+00:00,Ortyomka,558639,"Неа"
558648,2020-11-24T08:47:42+00:00,ysukhorukov,558638,"На нас же уже деньги выделены"
558649,2020-11-24T08:48:01+00:00,stupidjava,558647,"присел чтоб завязать шнурки?"
558650,2020-11-24T08:48:04+00:00,BananaAndBread,,"Видимо если нам выплачивать, новым вообще ничего не останется"
558651,2020-11-24T08:48:17+00:00,Ortyomka,558649,"Ну он укреплялся последнии дни"
558652,2020-11-24T08:48:43+00:00,dmiklashevskaya,,"кек просто типикал Иннополис\nговорить такие новости за месяц 🙈"
558653,2020-11-24T08:48:46+00:00,SkarletSkay,,"ПИЗДА УНИКУ ПРИВЕТ  РЕБЯТ"
558654,2020-11-24T08:48:52+00:00,dmiklashevskaya,,"рандом какой-то"
558655,2020-11-24T08:48:54+00:00,kamilkoduo,,"Так"
558656,2020-11-24T08:48:58+00:00,kamilkoduo,,"В можно нормально"
558657,2020-11-24T08:48:58+00:00,myaksik,,"дайте деплом"
558658,2020-11-24T08:48:59+00:00,PRYRAN,,"сейчас главное не бухтеть"
558659,2020-11-24T08:49:02+00:00,myaksik,,"можно без стипы"
558660,2020-11-24T08:49:03+00:00,kamilkoduo,558653,"Че там"
558661,2020-11-24T08:49:08+00:00,PRYRAN,558660,"бля))"
558662,2020-11-24T08:49:11+00:00,PRYRAN,,"ну ты глянь сообщения"
558663,2020-11-24T08:49:11+00:00,PRYRAN,,"выще"
558664,2020-11-24T08:49:12+00:00,PRYRAN,,"10 штук"
558665,2020-11-24T08:49:15+00:00,dmiklashevskaya,558648,"вот да, на нас же УЖЕ были выделены деньги\nкуда же они делись?  🤔"
558666,2020-11-24T08:49:35+00:00,akhmetbekali,,"20к макс"
558667,2020-11-24T08:49:36+00:00,akhmetbekali,,"пизецд"
558668,2020-11-24T08:49:39+00:00,BananaAndBread,558665,"На новые стипы наверное"
558669,2020-11-24T08:49:50+00:00,stupidjava,,"потратились на пиар в вк"
558670,2020-11-24T08:49:53+00:00,myaksik,,"ЧЕРНАЯ ПЯТНИЦА СКИДКА НА СТУДЕНТОВ"
558671,2020-11-24T08:49:56+00:00,ysukhorukov,558665,"Вот так вот думал хммм ща на 36 выйду"
558672,2020-11-24T08:49:58+00:00,myaksik,,"ВСЕГО 20К В МЕСЯЦ"
558673,2020-11-24T08:50:12+00:00,fatawesome,,"А сколько макс гпа может быть?"
558674,2020-11-24T08:50:23+00:00,ysukhorukov,,"4"
558675,2020-11-24T08:50:27+00:00,BeLuckyDaf,,"Допустим у меня gpa = 4.3, це будет ((4.3 - 2)/3)^2.5 * 17000 + 3000 и это блять будет 11 тысяч, что за хуйня?"
558676,2020-11-24T08:50:52+00:00,BeLuckyDaf,,"Ну предположим что гпа 5 максимум"
558677,2020-11-24T08:51:17+00:00,BananaAndBread,558673,"По русским 5 видимо"
558678,2020-11-24T08:51:18+00:00,myaksik,,"а вы видели у оргентштерна в клипе номера пососи"
558679,2020-11-24T08:51:21+00:00,ysukhorukov,,"Стипа 20к"
558680,2020-11-24T08:51:21+00:00,myaksik,,"теперь вы посисите"
558681,2020-11-24T08:51:22+00:00,myaksik,,")"
558682,2020-11-24T08:51:28+00:00,kamilkoduo,,"А где инфа"
558683,2020-11-24T08:51:35+00:00,myaksik,558682,"на почту зайди"
558684,2020-11-24T08:51:39+00:00,gafmn,,"То есть если все на А закрыл, то максимум будешь получать 20?"
558685,2020-11-24T08:51:40+00:00,dmiklashevskaya,,"типа сидишь паришься из-за оценок\nа в итоге стипа будет почти 18к"
558686,2020-11-24T08:51:49+00:00,dmiklashevskaya,558684,"да"
